track name=ClinGenClass type=bedDetail description="ClinGen Gene-Disease Classification" visibility=3 group=phenDis url="https://search.clinicalgenome.org/kb/gene-validity/$$" itemRgb=On 
browser pack ncbiRefSeqCurated
#chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	rgbID	ID	Description
chr1	35247910	35251967	Nonsyndromic Genetic Deafness	1000	.	35247910	35251967	255,153,51	f83e013a-685f-405b-89d6-a8e80aefaf6e--2018-08-23T16:53:15	GJB3 Gene-Disease Classification with Nonsyndromic Genetic Deafness - Disputed
chr1	35247910	35251967	Erythrokeratodermia Variabilis	1000	.	35247910	35251967	0,0,204	1d48c959-31d8-44e2-985c-c48921e8f08a--2018-03-05T05:00:00	GJB3 Gene-Disease Classification with Erythrokeratodermia Variabilis - Strong
chr1	40766162	40782981	Stickler Syndrome	1000	.	40766162	40782981	153,153,255	697ae26e-2b07-4f87-b42c-121684c89bc0--2019-02-19T17:00:00	COL9A2 Gene-Disease Classification with Stickler Syndrome - Limited
chr1	41249683	41306124	Nonsyndromic Genetic Deafness	1000	.	41249683	41306124	0,0,102	88196c6d-4bd7-4aff-ba98-c7b4411c562d--2017-11-21T17:00:00	KCNQ4 Gene-Disease Classification with Nonsyndromic Genetic Deafness - Definitive
chr1	43391045	43424847	Glut1 Deficiency Syndrome	1000	.	43391045	43424847	0,0,102	a20a0bc0-49d5-41fc-9507-cec19a43bd81--2019-04-18T12:34:54	SLC2A1 Gene-Disease Classification with Glut1 Deficiency Syndrome - Definitive
chr1	45287937	45308616	Nevoid Basal Cell Carcinoma Syndrome	1000	.	45287937	45308616	153,153,255	d189ca00-ba80-49af-9b2e-8523c8d29a44--2018-10-12T21:39:08	PTCH2 Gene-Disease Classification with Nevoid Basal Cell Carcinoma Syndrome - Limited
chr1	45794913	45806142	Hereditary Breast Carcinoma	1000	.	45794913	45806142	0,0,0	9904	MUTYH Gene-Disease Classification with Hereditary Breast Carcinoma - No Reported Evidence
chr1	45794913	45806142	Hereditary Breast Carcinoma	1000	.	45794913	45806142	0,0,0	9902	MUTYH Gene-Disease Classification with Hereditary Breast Carcinoma - No Reported Evidence
chr1	45794913	45806142	Familial Ovarian Cancer	1000	.	45794913	45806142	153,153,255	9905	MUTYH Gene-Disease Classification with Familial Ovarian Cancer - Limited
chr1	45794913	45806142	Mutyh-Related Attenuated Familial Adenomatous Polyposis	1000	.	45794913	45806142	51,51,255	10072	MUTYH Gene-Disease Classification with Mutyh-Related Attenuated Familial Adenomatous Polyposis - Moderate
chr1	45794913	45806142	Mutyh-Related Attenuated Familial Adenomatous Polyposis	1000	.	45794913	45806142	0,0,102	9855	MUTYH Gene-Disease Classification with Mutyh-Related Attenuated Familial Adenomatous Polyposis - Definitive
chr1	45794913	45806142	Familial Ovarian Cancer	1000	.	45794913	45806142	153,153,255	9903	MUTYH Gene-Disease Classification with Familial Ovarian Cancer - Limited
chr1	45965855	45976739	Methylmalonic Aciduria And Homocystinuria Type Cblc	1000	.	45965855	45976739	0,0,102	6feb4bda-539f-4592-acaf-26dc186e953a--2019-05-24T17:08:57	MMACHC Gene-Disease Classification with Methylmalonic Aciduria And Homocystinuria Type Cblc - Definitive
chr1	47881743	47883724	Familial Thoracic Aortic Aneurysm And Aortic Dissection	1000	.	47881743	47883724	51,51,255	8261	FOXE3 Gene-Disease Classification with Familial Thoracic Aortic Aneurysm And Aortic Dissection - Moderate
chr1	53662100	53679869	Carnitine Palmitoyltransferase Ii Deficiency	1000	.	53662100	53679869	0,0,102	1a57ea10-6ca0-4311-94f1-0ad036a38ca6--2018-03-27T16:00:00	CPT2 Gene-Disease Classification with Carnitine Palmitoyltransferase Ii Deficiency - Definitive
chr1	55464616	55474465	Bartter Disease Type 4A	1000	.	55464616	55474465	0,0,102	9b69acb1-93bc-4bc0-8a33-77bf64179c32--2018-07-12T20:52:43	BSND Gene-Disease Classification with Bartter Disease Type 4A - Definitive
chr1	64239689	64647179	Nonsyndromic Genetic Deafness	1000	.	64239689	64647179	153,153,255	fdee1ffc-d8bd-4188-acb6-5fad8f5902a6--2018-03-20T16:00:00	ROR1 Gene-Disease Classification with Nonsyndromic Genetic Deafness - Limited
chr1	68894506	68915642	Leber Congenital Amaurosis	1000	.	68894506	68915642	0,0,102	9540	RPE65 Gene-Disease Classification with Leber Congenital Amaurosis - Definitive
chr1	68894506	68915642	Retinitis Pigmentosa	1000	.	68894506	68915642	51,51,255	9616	RPE65 Gene-Disease Classification with Retinitis Pigmentosa - Moderate
chr1	70876900	70905534	Cystathioninuria (Disease)	1000	.	70876900	70905534	0,0,102	2f5047f7-80ba-4b8f-8009-59d7130e63be--2019-06-14T16:00:00	CTH Gene-Disease Classification with Cystathioninuria (Disease) - Definitive
chr1	76190042	76229355	Medium Chain Acyl-Coa Dehydrogenase Deficiency	1000	.	76190042	76229355	0,0,102	fb987774-0e5b-4466-924f-6f19fccc6599--2018-01-23T17:00:00	ACADM Gene-Disease Classification with Medium Chain Acyl-Coa Dehydrogenase Deficiency - Definitive
chr1	78354199	78409578	Hypertrophic Cardiomyopathy 20	1000	.	78354199	78409578	153,153,255	8764	NEXN Gene-Disease Classification with Hypertrophic Cardiomyopathy 20 - Limited
chr1	100652477	100715409	Maple Syrup Urine Disease	1000	.	100652477	100715409	0,0,102	cfd1ebde-e447-4877-977e-f5b9fe434adc--2018-10-30T16:00:00	DBT Gene-Disease Classification with Maple Syrup Urine Disease - Definitive
chr1	100818022	100965021	Nonsyndromic Genetic Deafness	1000	.	100818022	100965021	153,153,255	e869e4b1-30e2-4d9b-9b69-124903d7b307--2018-02-26T17:00:00	CDC14A Gene-Disease Classification with Nonsyndromic Genetic Deafness - Limited
chr1	109419602	109473044	Chudley-Mccullough Syndrome	1000	.	109419602	109473044	0,0,102	cd40cf49-a25c-450b-be6b-b80eef958f4c--2018-05-01T16:00:00	GPSM2 Gene-Disease Classification with Chudley-Mccullough Syndrome - Definitive
chr1	111145775	111148975	Undetermined Early-Onset Epileptic Encephalopathy	1000	.	111145775	111148975	0,0,204	10049	KCNA2 Gene-Disease Classification with Undetermined Early-Onset Epileptic Encephalopathy - Strong
chr1	112318453	112531777	Brugada Syndrome 1	1000	.	112318453	112531777	255,153,51	10151	KCND3 Gene-Disease Classification with Brugada Syndrome 1 - Disputed
chr1	115247084	115259515	Cardiofaciocutaneous Syndrome	1000	.	115247084	115259515	153,153,255	d466df2a-8e3d-4d4a-bb96-8e483d4c56e7--2018-07-24T16:03:17	NRAS Gene-Disease Classification with Cardiofaciocutaneous Syndrome - Limited
chr1	115247084	115259515	Noonan Syndrome-Like Disorder With Loose Anagen Hair	1000	.	115247084	115259515	0,0,0	ad5e082b-5c0c-49ff-90fe-64c1598850d9--2018-05-30T18:07:05	NRAS Gene-Disease Classification with Noonan Syndrome-Like Disorder With Loose Anagen Hair - No Reported Evidence
chr1	115247084	115259515	Costello Syndrome	1000	.	115247084	115259515	153,153,255	28526e91-0db9-4724-94f3-e4222ace602c--2018-07-24T18:02:54	NRAS Gene-Disease Classification with Costello Syndrome - Limited
chr1	115247084	115259515	Noonan Syndrome	1000	.	115247084	115259515	0,0,102	34419b69-59c3-458b-a2a5-38a401679deb--2018-05-30T13:27:37	NRAS Gene-Disease Classification with Noonan Syndrome - Definitive
chr1	115247084	115259515	Noonan Syndrome With Multiple Lentigines	1000	.	115247084	115259515	153,153,255	e5622684-4367-4d90-b769-f7205ee1cac8--2018-05-30T17:29:41	NRAS Gene-Disease Classification with Noonan Syndrome With Multiple Lentigines - Limited
chr1	116242625	116311426	Hypertrophic Cardiomyopathy	1000	.	116242625	116311426	0,0,0	10064	CASQ2 Gene-Disease Classification with Hypertrophic Cardiomyopathy - No Reported Evidence
chr1	120254418	120286849	Neurometabolic Disorder Due To Serine Deficiency	1000	.	120254418	120286849	0,0,102	f1b4e8da-d6e7-4494-abb0-f2953548a722--2019-05-24T17:08:05	PHGDH Gene-Disease Classification with Neurometabolic Disorder Due To Serine Deficiency - Definitive
chr1	120290618	120311555	3-Hydroxy-3-Methylglutaryl-Coa Synthase Deficiency	1000	.	120290618	120311555	0,0,102	b3f49254-4635-4961-83b9-31c7ebc7f159--2018-05-22T16:00:00	HMGCS2 Gene-Disease Classification with 3-Hydroxy-3-Methylglutaryl-Coa Synthase Deficiency - Definitive
chr1	146714290	146767447	Congenital Anomaly Of Kidney And Urinary Tract	1000	.	146714290	146767447	153,153,255	3220	CHD1L Gene-Disease Classification with Congenital Anomaly Of Kidney And Urinary Tract - Limited
chr1	154955769	154965587	Myopathy With Abnormal Lipid Metabolism	1000	.	154955769	154965587	51,51,255	769764bf-09c5-4a7d-8501-5fcf154fcdda--2018-06-12T16:00:00	FLAD1 Gene-Disease Classification with Myopathy With Abnormal Lipid Metabolism - Moderate
chr1	155867598	155880706	Costello Syndrome	1000	.	155867598	155880706	0,0,0	8e279efd-79fb-41e0-9e4d-6a0bd015ce02--2018-07-24T18:38:30	RIT1 Gene-Disease Classification with Costello Syndrome - No Reported Evidence
chr1	155867598	155880706	Noonan Syndrome	1000	.	155867598	155880706	0,0,102	240565fc-61b9-4ff8-9f5a-85938f17cdd9--2018-07-24T14:20:33	RIT1 Gene-Disease Classification with Noonan Syndrome - Definitive
chr1	155867598	155880706	Cardiofaciocutaneous Syndrome	1000	.	155867598	155880706	0,0,0	a6424491-be63-40ab-96cc-53c1bc8b2a7a--2018-05-31T20:37:25	RIT1 Gene-Disease Classification with Cardiofaciocutaneous Syndrome - No Reported Evidence
chr1	155867598	155880706	Noonan Syndrome With Multiple Lentigines	1000	.	155867598	155880706	0,0,0	32293e76-55ee-4997-ac17-bfb9af86b9b6--2018-05-31T20:47:36	RIT1 Gene-Disease Classification with Noonan Syndrome With Multiple Lentigines - No Reported Evidence
chr1	155867598	155880706	Noonan Syndrome-Like Disorder With Loose Anagen Hair	1000	.	155867598	155880706	0,0,0	d1c24417-244a-4e14-82aa-1b62b5df0c20--2018-05-31T20:53:28	RIT1 Gene-Disease Classification with Noonan Syndrome-Like Disorder With Loose Anagen Hair - No Reported Evidence
chr1	156123321	156147542	Hereditary Nonpolyposis Colon Cancer	1000	.	156123321	156147542	153,153,255	9864	SEMA4A Gene-Disease Classification with Hereditary Nonpolyposis Colon Cancer - Limited
chr1	160007256	160040051	Enlarged Vestibular Aqueduct Syndrome	1000	.	160007256	160040051	255,153,51	09f81c95-1213-4029-a6bd-279e52f240c7--2018-09-18T18:15:46	KCNJ10 Gene-Disease Classification with Enlarged Vestibular Aqueduct Syndrome - Disputed
chr1	161284165	161334535	Hereditary Pheochromocytoma-Paraganglioma	1000	.	161284165	161334535	0,0,102	8357	SDHC Gene-Disease Classification with Hereditary Pheochromocytoma-Paraganglioma - Definitive
chr1	161736033	161933860	Achromatopsia 7	1000	.	161736033	161933860	0,0,204	4842	ATF6 Gene-Disease Classification with Achromatopsia 7 - Strong
chr1	169481191	169555769	Thrombophilia Due To Activated Protein C Resistance	1000	.	169481191	169555769	0,0,102	ab28e09c-08ff-4149-a536-3cdb9cc4099f--2019-09-30T16:00:00	F5 Gene-Disease Classification with Thrombophilia Due To Activated Protein C Resistance - Definitive
chr1	182350838	182360539	Congenital Brain Dysgenesis Due To Glutamine Synthetase Deficiency	1000	.	182350838	182360539	153,153,255	d71d7866-437d-48bd-8a98-21e67abdd917--2019-09-13T17:09:47	GLUL Gene-Disease Classification with Congenital Brain Dysgenesis Due To Glutamine Synthetase Deficiency - Limited
chr1	193091087	193223942	Hyperparathyroidism-Jaw Tumor Syndrome	1000	.	193091087	193223942	0,0,102	a5bd498b-dc86-4f2d-a51b-48baf7017a02--2019-04-19T16:00:00	CDC73 Gene-Disease Classification with Hyperparathyroidism-Jaw Tumor Syndrome - Definitive
chr1	201328135	201346828	Hypertrophic Cardiomyopathy	1000	.	201328135	201346828	0,0,102	8770	TNNT2 Gene-Disease Classification with Hypertrophic Cardiomyopathy - Definitive
chr1	215796235	216596738	Usher Syndrome Type 2	1000	.	215796235	216596738	0,0,102	5661	USH2A Gene-Disease Classification with Usher Syndrome Type 2 - Definitive
chr1	218518675	218617961	Familial Thoracic Aortic Aneurysm And Aortic Dissection	1000	.	218518675	218617961	0,0,102	8254	TGFB2 Gene-Disease Classification with Familial Thoracic Aortic Aneurysm And Aortic Dissection - Definitive
chr1	220267454	220321383	Leigh Syndrome	1000	.	220267454	220321383	153,153,255	50877212-c671-406b-8cb6-195c7369a96c--2019-11-25T15:44:42	IARS2 Gene-Disease Classification with Leigh Syndrome - Limited
chr1	225589203	225615815	Regressive Spondylometaphyseal Dysplasia	1000	.	225589203	225615815	51,51,255	5462	LBR Gene-Disease Classification with Regressive Spondylometaphyseal Dysplasia - Moderate
chr1	225997796	226033262	Hereditary Nonpolyposis Colon Cancer	1000	.	225997796	226033262	153,153,255	8431	EPHX1 Gene-Disease Classification with Hereditary Nonpolyposis Colon Cancer - Limited
chr1	228395830	228566575	Hypertrophic Cardiomyopathy	1000	.	228395830	228566575	153,153,255	94265ca9-cf6a-468e-b12c-6ea173d09e51--2018-08-06T13:23:13	OBSCN Gene-Disease Classification with Hypertrophic Cardiomyopathy - Limited
chr1	229566992	229569843	Hypertrophic Cardiomyopathy	1000	.	229566992	229569843	0,0,0	10047	ACTA1 Gene-Disease Classification with Hypertrophic Cardiomyopathy - No Reported Evidence
chr1	231499496	231560790	Hereditary Pheochromocytoma-Paraganglioma	1000	.	231499496	231560790	51,51,255	8363	EGLN1 Gene-Disease Classification with Hereditary Pheochromocytoma-Paraganglioma - Moderate
chr1	236849769	236927558	Intrinsic Cardiomyopathy	1000	.	236849769	236927558	51,51,255	6710e329-d391-4355-85a5-02d03f8791a3--2018-08-06T13:12:55	ACTN2 Gene-Disease Classification with Intrinsic Cardiomyopathy - Moderate
chr1	237205701	237997288	Catecholaminergic Polymorphic Ventricular Tachycardia 1	1000	.	237205701	237997288	0,0,102	8752	RYR2 Gene-Disease Classification with Catecholaminergic Polymorphic Ventricular Tachycardia 1 - Definitive
chr1	237205701	237997288	Hypertrophic Cardiomyopathy	1000	.	237205701	237997288	153,153,255	10076	RYR2 Gene-Disease Classification with Hypertrophic Cardiomyopathy - Limited
chr1	241660856	241683085	Hereditary Pheochromocytoma-Paraganglioma	1000	.	241660856	241683085	51,51,255	8362	FH Gene-Disease Classification with Hereditary Pheochromocytoma-Paraganglioma - Moderate
chr1	242011492	242053241	Hereditary Nonpolyposis Colon Cancer	1000	.	242011492	242053241	255,153,51	8432	EXO1 Gene-Disease Classification with Hereditary Nonpolyposis Colon Cancer - Disputed
chr2	11817704	11967533	Myoglobinuria, Acute Recurrent, Autosomal Recessive	1000	.	11817704	11967533	0,0,102	642c8d4a-d498-4739-957d-a4e0d457362a--2018-09-25T16:00:00	LPIN1 Gene-Disease Classification with Myoglobinuria, Acute Recurrent, Autosomal Recessive - Definitive
chr2	17935176	17966632	Familial Ovarian Cancer	1000	.	17935176	17966632	0,0,0	8692	GEN1 Gene-Disease Classification with Familial Ovarian Cancer - No Reported Evidence
chr2	17935176	17966632	Hereditary Breast Carcinoma	1000	.	17935176	17966632	255,153,51	8691	GEN1 Gene-Disease Classification with Hereditary Breast Carcinoma - Disputed
chr2	21224300	21266945	Hypercholesterolemia, Autosomal Dominant, Type B	1000	.	21224300	21266945	0,0,102	1c26b83b-409e-47c7-9c53-6ca79472d6fc--2018-11-14T17:00:00	APOB Gene-Disease Classification with Hypercholesterolemia, Autosomal Dominant, Type B - Definitive
chr2	26413503	26467594	Long Chain 3-Hydroxyacyl-Coa Dehydrogenase Deficiency	1000	.	26413503	26467594	0,0,102	c8a5e15b-21f7-49cc-987c-5f3585742bbe--2018-02-12T17:00:00	HADHA Gene-Disease Classification with Long Chain 3-Hydroxyacyl-Coa Dehydrogenase Deficiency - Definitive
chr2	26467615	26513333	Mitochondrial Trifunctional Protein Deficiency	1000	.	26467615	26513333	0,0,102	65cb0124-8476-422c-924f-15fac7c95592--2018-05-08T16:00:00	HADHB Gene-Disease Classification with Mitochondrial Trifunctional Protein Deficiency - Definitive
chr2	26680070	26781566	Autosomal Recessive Nonsyndromic Deafness 9	1000	.	26680070	26781566	0,0,102	5613	OTOF Gene-Disease Classification with Autosomal Recessive Nonsyndromic Deafness 9 - Definitive
chr2	28974613	29025806	Cardiofaciocutaneous Syndrome	1000	.	28974613	29025806	0,0,0	250f2ed3-e70d-44dc-b0f3-250e89dbb2a5--2018-06-05T12:48:41	PPP1CB Gene-Disease Classification with Cardiofaciocutaneous Syndrome - No Reported Evidence
chr2	28974613	29025806	Noonan Syndrome	1000	.	28974613	29025806	0,0,0	700135f5-7df3-40bc-b78e-15aeac6b7d67--2018-07-24T15:03:04	PPP1CB Gene-Disease Classification with Noonan Syndrome - No Reported Evidence
chr2	28974613	29025806	Costello Syndrome	1000	.	28974613	29025806	0,0,0	0cc1f932-4e3e-4bdd-9e39-ad48fe360b85--2018-06-05T12:53:31	PPP1CB Gene-Disease Classification with Costello Syndrome - No Reported Evidence
chr2	28974613	29025806	Noonan Syndrome-Like Disorder With Loose Anagen Hair	1000	.	28974613	29025806	0,0,204	16bcb316-090f-420d-9c89-b7642d3dc725--2018-07-25T14:45:15	PPP1CB Gene-Disease Classification with Noonan Syndrome-Like Disorder With Loose Anagen Hair - Strong
chr2	28974613	29025806	Noonan Syndrome With Multiple Lentigines	1000	.	28974613	29025806	0,0,0	98c228a3-3796-4336-b842-90758ce922e9--2018-06-05T13:06:07	PPP1CB Gene-Disease Classification with Noonan Syndrome With Multiple Lentigines - No Reported Evidence
chr2	29415639	30144477	Neuroblastoma, Susceptibility To, 3	1000	.	29415639	30144477	0,0,102	ba9f692d-9b6d-4d46-8bfa-009ec20ae538--2019-11-21T19:32:44	ALK Gene-Disease Classification with Neuroblastoma, Susceptibility To, 3 - Definitive
chr2	39208689	39347604	Noonan Syndrome	1000	.	39208689	39347604	0,0,102	9781b6bf-9b1e-4a10-a0a9-7e56562a6e3a--2018-07-24T14:25:57	SOS1 Gene-Disease Classification with Noonan Syndrome - Definitive
chr2	39208689	39347604	Costello Syndrome	1000	.	39208689	39347604	255,153,51	cf0ea291-849a-4bd9-a12a-cd9daad7e214--2018-07-24T18:43:23	SOS1 Gene-Disease Classification with Costello Syndrome - Disputed
chr2	39208689	39347604	Cardiofaciocutaneous Syndrome	1000	.	39208689	39347604	255,153,51	ee5b916f-82ef-4738-82c8-46ee2fad131b--2018-06-01T19:40:35	SOS1 Gene-Disease Classification with Cardiofaciocutaneous Syndrome - Disputed
chr2	39208689	39347604	Noonan Syndrome With Multiple Lentigines	1000	.	39208689	39347604	0,0,0	80534122-9c46-4532-a7c0-b3aa604457d6--2018-06-01T19:53:29	SOS1 Gene-Disease Classification with Noonan Syndrome With Multiple Lentigines - No Reported Evidence
chr2	39208689	39347604	Noonan Syndrome-Like Disorder With Loose Anagen Hair	1000	.	39208689	39347604	0,0,0	89b2e593-f90c-40d2-b32c-860a39773a00--2018-06-01T19:57:25	SOS1 Gene-Disease Classification with Noonan Syndrome-Like Disorder With Loose Anagen Hair - No Reported Evidence
chr2	44113362	44223144	Leigh Syndrome	1000	.	44113362	44223144	0,0,102	79691365-1911-423c-ab14-73a1f509ed22--2019-12-19T19:01:57	LRPPRC Gene-Disease Classification with Leigh Syndrome - Definitive
chr2	44502596	44547962	Cystinuria (Disease)	1000	.	44502596	44547962	0,0,102	fbde8280-d4bc-47e8-8f3d-aed8bb05e22e--2019-07-26T16:00:00	SLC3A1 Gene-Disease Classification with Cystinuria (Disease) - Definitive
chr2	46524540	46613842	Hereditary Pheochromocytoma-Paraganglioma	1000	.	46524540	46613842	255,153,51	8369	EPAS1 Gene-Disease Classification with Hereditary Pheochromocytoma-Paraganglioma - Disputed
chr2	47596286	47614167	Colorectal Cancer, Hereditary Nonpolyposis, Type 8	1000	.	47596286	47614167	0,0,102	9852	EPCAM Gene-Disease Classification with Colorectal Cancer, Hereditary Nonpolyposis, Type 8 - Definitive
chr2	47596286	47614167	Hereditary Breast Carcinoma	1000	.	47596286	47614167	0,0,0	8527	EPCAM Gene-Disease Classification with Hereditary Breast Carcinoma - No Reported Evidence
chr2	47630205	47710367	Lynch Syndrome	1000	.	47630205	47710367	0,0,102	9849	MSH2 Gene-Disease Classification with Lynch Syndrome - Definitive
chr2	47630205	47710367	Hereditary Breast Carcinoma	1000	.	47630205	47710367	255,153,51	10084	MSH2 Gene-Disease Classification with Hereditary Breast Carcinoma - Disputed
chr2	47630205	47710367	Constitutional Mismatch Repair Deficiency Syndrome	1000	.	47630205	47710367	0,0,102	7ce2b2b9-9b04-4a47-b6fa-b85c60ba1c08--2018-10-09T14:44:00	MSH2 Gene-Disease Classification with Constitutional Mismatch Repair Deficiency Syndrome - Definitive
chr2	48010220	48034092	Lynch Syndrome	1000	.	48010220	48034092	0,0,102	9850	MSH6 Gene-Disease Classification with Lynch Syndrome - Definitive
chr2	48010220	48034092	Hereditary Breast Carcinoma	1000	.	48010220	48034092	255,153,51	8531	MSH6 Gene-Disease Classification with Hereditary Breast Carcinoma - Disputed
chr2	48010220	48034092	Constitutional Mismatch Repair Deficiency Syndrome	1000	.	48010220	48034092	0,0,102	b7d02927-ac93-4a43-a86d-01cd381f4e9f--2018-10-09T14:57:26	MSH6 Gene-Disease Classification with Constitutional Mismatch Repair Deficiency Syndrome - Definitive
chr2	50145642	51259674	Complex Neurodevelopmental Disorder	1000	.	50145642	51259674	0,0,102	14bb833a-eefd-4f02-b112-c74b6866d5be--2019-07-10T16:00:00	NRXN1 Gene-Disease Classification with Complex Neurodevelopmental Disorder - Definitive
chr2	55861197	55921045	Autosomal Recessive Nonsyndromic Deafness	1000	.	55861197	55921045	153,153,255	8402	PNPT1 Gene-Disease Classification with Autosomal Recessive Nonsyndromic Deafness - Limited
chr2	71162997	71192561	Renal Tubular Acidosis, Distal, With Progressive Nerve Deafness	1000	.	71162997	71192561	0,0,102	c74d3789-9cfc-4be3-b23d-baf610620e6c--2017-12-19T05:00:00	ATP6V1B1 Gene-Disease Classification with Renal Tubular Acidosis, Distal, With Progressive Nerve Deafness - Definitive
chr2	73612885	73837046	Alstrom Syndrome	1000	.	73612885	73837046	0,0,102	6238	ALMS1 Gene-Disease Classification with Alstrom Syndrome - Definitive
chr2	84650646	84686586	Leigh Syndrome	1000	.	84650646	84686586	51,51,255	fd0a5a96-69b8-47fb-9b7b-17de29439ecc--2019-04-18T18:14:48	SUCLG1 Gene-Disease Classification with Leigh Syndrome - Moderate
chr2	85581842	85618875	Autosomal Recessive Nonsyndromic Deafness 88	1000	.	85581842	85618875	153,153,255	8401	ELMOD3 Gene-Disease Classification with Autosomal Recessive Nonsyndromic Deafness 88 - Limited
chr2	85581842	85618875	Nonsyndromic Genetic Deafness	1000	.	85581842	85618875	153,153,255	95f5efe3-e0d1-4cef-b475-7ff1cd3c417c--2017-05-04T16:00:00	ELMOD3 Gene-Disease Classification with Nonsyndromic Genetic Deafness - Limited
chr2	85766100	85772403	Familial Thoracic Aortic Aneurysm And Aortic Dissection	1000	.	85766100	85772403	153,153,255	8263	MAT2A Gene-Disease Classification with Familial Thoracic Aortic Aneurysm And Aortic Dissection - Limited
chr2	86333304	86369280	Leigh Syndrome	1000	.	86333304	86369280	153,153,255	ac3d1e08-56f0-43b6-a2fa-0d06571ba121--2019-06-20T16:44:19	PTCD3 Gene-Disease Classification with Leigh Syndrome - Limited
chr2	96915945	96931751	Hereditary Pheochromocytoma-Paraganglioma	1000	.	96915945	96931751	0,0,102	8360	TMEM127 Gene-Disease Classification with Hereditary Pheochromocytoma-Paraganglioma - Definitive
chr2	112656190	112786945	Hereditary Pheochromocytoma-Paraganglioma	1000	.	112656190	112786945	153,153,255	8371	MERTK Gene-Disease Classification with Hereditary Pheochromocytoma-Paraganglioma - Limited
chr2	128014865	128051752	Xeroderma Pigmentosum Group B	1000	.	128014865	128051752	0,0,102	bf09deab-9612-4b13-8bb7-4c2a25dde868--2019-04-19T16:00:00	ERCC3 Gene-Disease Classification with Xeroderma Pigmentosum Group B - Definitive
chr2	145141941	145277958	Mowat-Wilson Syndrome	1000	.	145141941	145277958	0,0,102	cb06ff0d-1cc6-494c-9ce5-f7cb26f34620--2018-05-24T12:34:43	ZEB2 Gene-Disease Classification with Mowat-Wilson Syndrome - Definitive
chr2	148778579	149271044	Complex Neurodevelopmental Disorder	1000	.	148778579	149271044	51,51,255	952cb4f8-e59b-4edb-a393-0266e0008963--2018-11-21T17:00:00	MBD5 Gene-Disease Classification with Complex Neurodevelopmental Disorder - Moderate
chr2	152341852	152591001	Nemaline Myopathy 2	1000	.	152341852	152591001	0,0,102	796dd762-f35c-425a-be3f-05424324ade0--2019-10-21T16:00:00	NEB Gene-Disease Classification with Nemaline Myopathy 2 - Definitive
chr2	152689285	152955593	Epilepsy	1000	.	152689285	152955593	255,153,51	d2fad131-8e91-4874-9394-8b86d6d62abb--2018-06-22T10:54:38	CACNB4 Gene-Disease Classification with Epilepsy - Disputed
